#accession	taxid
AY848685	318594
AY848686	318595
AY848687	318596
AY848688	261665
NC_001421	10658
NC_005258	236750
NC_006945	307240
NC_011523	513550
NC_022094	663237
NC_005892	269145
NC_014099	754004
